city_name,city_id,lat,lng,city_temp,city_hum,cloudiness,city_wind,url
Dhidhdhoo,1337612,7.4449475,72.345184,82.87,100,68,7.4,http://api.openweathermap.org/data/2.5/weather?lat=7.4449475&lon=72.345184&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Waterfall,941812,-29.317115,30.857684,56,99,92,2.71,http://api.openweathermap.org/data/2.5/weather?lat=-29.317115&lon=30.857684&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Snow Hill,4492329,35.4317225,-77.713598,52.99,66,1,4.7,http://api.openweathermap.org/data/2.5/weather?lat=35.4317225&lon=-77.713598&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Andovoranto,1076227,-19.7018275,50.136859,82.46,97,92,9.64,http://api.openweathermap.org/data/2.5/weather?lat=-19.7018275&lon=50.136859&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Utrik,7306518,12.0676775,170.053641,78.55,100,80,22.5,http://api.openweathermap.org/data/2.5/weather?lat=12.0676775&lon=170.053641&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Vaennaes,2665093,63.8553275,19.529978,31.87,90,90,10.29,http://api.openweathermap.org/data/2.5/weather?lat=63.8553275&lon=19.529978&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Töysä,634009,62.571419,23.862858,30.2,92,75,6.93,http://api.openweathermap.org/data/2.5/weather?lat=62.571419&lon=23.862858&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Yuli,1529001,41.101532,85.859717,15.68,73,48,2.71,http://api.openweathermap.org/data/2.5/weather?lat=41.101532&lon=85.859717&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Olonkinbyen,7535941,70.3799115,-5.716992,35.35,100,64,17.69,http://api.openweathermap.org/data/2.5/weather?lat=70.3799115&lon=-5.716992&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Hayma,287939,19.9463105,56.409958,59.11,69,0,4.94,http://api.openweathermap.org/data/2.5/weather?lat=19.9463105&lon=56.409958&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Wanaaring,2144817,-30.200707,143.738974,70.36,41,0,5.95,http://api.openweathermap.org/data/2.5/weather?lat=-30.200707&lon=143.738974&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
Mataranka,2066808,-14.780693,133.956464,82.91,55,12,9.86,http://api.openweathermap.org/data/2.5/weather?lat=-14.780693&lon=133.956464&units=imperial&APPID=98e3ccea11f09b110709f20f639dc7e9
